code,pctl,evaluationperiod_pctl,speed,evaluationperiod_speed,goal,indicatorcode,indicatorname,value,orig_value,diff,more_is_better,target_value
SUR,40-60,2015-2022,0.967713798,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",16.6,20.5,-3.9,0,0
TJK,40-60,2015-2022,0.959682149,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",30.3,37.6,-7.3,0,0
TLS,40-60,2015-2022,1.042735559,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",48.6,61.6,-13,0,0
TGO,40-60,2015-2022,0.997402888,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",60.4,75.8,-15.4,0,0
TTO,40-60,2015-2022,1.040587071,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",15.4,19.3,-3.9,0,0
TCA,40-60,2015-2022,0.838371664,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.9,6.9,-1,0,0
TUV,40-60,2015-2022,1.079368701,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",20.4,25.9,-5.5,0,0
ZWE,40-60,2015-2022,1.024093883,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",47.7,60.2,-12.5,0,0
AGO,60-80,2015-2022,1.198754532,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",66.9,87.9,-21,0,0
BGD,60-80,2015-2022,1.291268778,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",28.8,38.5,-9.7,0,0
BOL,60-80,2015-2022,1.293637842,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",23.9,31.9,-8,0,0
BGR,60-80,2015-2022,1.547810298,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.1,8.2,-2.1,0,0
BDI,60-80,2015-2022,1.26255525,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",50.5,67.3,-16.8,0,0
KHM,60-80,2015-2022,1.289496563,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",23.7,31.6,-7.9,0,0
CHL,60-80,2015-2022,1.248409412,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.3,8,-1.7,0,0
SLV,60-80,2015-2022,1.184832108,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",11.9,15.3,-3.4,0,0
ETH,60-80,2015-2022,1.37167185,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",46.2,63.1,-16.9,0,0
GAB,60-80,2015-2022,1.17209103,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",38.8,50.6,-11.8,0,0
GMB,60-80,2015-2022,1.171220995,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",45.6,59.5,-13.9,0,0
GHA,60-80,2015-2022,1.18101228,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",42.3,55.3,-13,0,0
IRN,60-80,2015-2022,1.205749872,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12,15.5,-3.5,0,0
LAO,60-80,2015-2022,1.20554736,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",40.4,53.1,-12.7,0,0
LBY,60-80,2015-2022,1.225443687,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",10.3,13.3,-3,0,0
MWI,60-80,2015-2022,1.503715355,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",40.1,56.4,-16.3,0,0
MAR,60-80,2015-2022,1.3962055,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",17.3,23.5,-6.2,0,0
NPL,60-80,2015-2022,1.472886133,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",27.3,38,-10.7,0,0
PAN,60-80,2015-2022,1.198947709,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",13.3,17.2,-3.9,0,0
ROU,60-80,2015-2022,1.543263029,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.8,9.2,-2.4,0,0
SEN,60-80,2015-2022,1.408550766,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",37,50.9,-13.9,0,0
SLE,60-80,2015-2022,1.463993583,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",100.8,140.5,-39.7,0,0
LKA,60-80,2015-2022,1.560313952,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.5,8.8,-2.3,0,0
TZA,60-80,2015-2022,1.325245838,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",40.5,54.7,-14.2,0,0
THA,60-80,2015-2022,1.194368391,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",8.1,10.3,-2.2,0,0
UGA,60-80,2015-2022,1.412811441,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",40.5,55.8,-15.3,0,0
URY,60-80,2015-2022,1.537158023,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.6,8.9,-2.3,0,0
PSE,60-80,2015-2022,1.167978032,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",14.3,18.4,-4.1,0,0
ARM,80-100,2015-2022,1.631444327,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",10.3,14.5,-4.2,0,0
AZE,80-100,2015-2022,1.745870779,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",18.1,26.6,-8.5,0,0
BLZ,80-100,2015-2022,1.727359198,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",10.9,15.7,-4.8,0,0
CPV,80-100,2015-2022,1.854722513,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12.3,18.3,-6,0,0
CHN,80-100,2015-2022,2.442376194,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.6,10.7,-4.1,0,0
IND,80-100,2015-2022,1.794945084,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",29.1,43.6,-14.5,0,0
XKX,80-100,2015-2022,1.962591833,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.5,14.3,-4.8,0,0
MDV,80-100,2015-2022,2.905157787,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.6,9.8,-4.2,0,0
MNG,80-100,2015-2022,1.739123093,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",13.4,19.5,-6.1,0,0
MKD,80-100,2015-2021,4.635487573,2015-2021,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.2,11.2,-6,0,0
QAT,80-100,2015-2022,2.115454481,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.2,7.7,-2.5,0,0
RUS,80-100,2015-2021,3.044988898,2015-2021,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.1,8.3,-3.2,0,0
STP,80-100,2015-2022,2.138316776,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",14.5,23.1,-8.6,0,0
SAU,80-100,2015-2022,1.811380533,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.4,9.1,-2.7,0,0
VCT,80-100,2015-2022,1.957609869,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",10.9,16.5,-5.6,0,0
SYR,80-100,2015-2022,3.208927405,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",21.4,43.9,-22.5,0,0
TUN,80-100,2015-2022,1.997178607,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",11.5,17.6,-6.1,0,0
TUR,80-100,2015-2022,1.57050585,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.6,13.3,-3.7,0,0
ARE,80-100,2015-2022,1.937537161,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.3,7.6,-2.3,0,0
UZB,80-100,2015-2022,1.867395655,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",13.3,19.9,-6.6,0,0
AUT,20-40,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
AZE,20-40,2015-2023,0.282330637,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",87.56549072,86.07421875,1.491271973,1,100
BDI,0-20,2015-2020,-1.154087428,2015-2020,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",28.90119934,35.6598587,-6.758659363,1,100
BEL,20-40,2015-2022,-1.062867879,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.37577057,95.1040802,-1.728309631,1,100
BEN,0-20,2015-2022,-1.845671473,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",29.07029915,44.05136871,-14.98106956,1,100
BFA,20-40,2015-2023,0.117308788,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",27.64790916,26.53524971,1.112659454,1,100
BGR,20-40,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
BIH,0-20,2015-2023,-1.020550578,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",87.8190918,91.89813995,-4.079048157,1,100
BLR,20-40,2015-2023,-0.543704139,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",92.8449173,94.09374237,-1.248825073,1,100
BLZ,20-40,2015-2023,0.077380952,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",68.3026886,67.64705658,0.655632019,1,100
BOL,20-40,2015-2023,-0.340366983,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",88.42192078,89.91461945,-1.492698669,1,100
CHE,20-40,2015-2022,-0.686937272,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",94.94431305,95.70168304,-0.757369995,1,100
CMR,0-20,2015-2023,-1.275092791,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",34.67374039,46.37726974,-11.70352936,1,100
CUB,20-40,2015-2023,0.245334061,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",88.53298187,87.32518768,1.207794189,1,100
CYP,0-20,2015-2020,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
CZE,20-40,2015-2022,-2.051979585,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.23465729,95.99780273,-2.763145447,1,100
DMA,0-20,2015-2023,-1.715017694,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",75.76335907,87.22538757,-11.4620285,1,100
DOM,0-20,2015-2023,-0.661654957,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",72.98293304,78.19709778,-5.214164734,1,100
ECU,0-20,2015-2023,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
ETH,0-20,2015-2023,-0.798458494,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",22.15675735,29.74414063,-7.58738327,1,100
FSM,0-20,2015-2022,-1.324765967,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",76.311409,84.4892807,-8.177871704,1,100
GTM,0-20,2015-2023,-1.513847199,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",49.6596489,62.94564056,-13.28599167,1,100
IND,20-40,2015-2023,-0.112665577,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",85.47740936,86.12119293,-0.643783569,1,100
ISL,20-40,2015-2021,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
ISR,20-40,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
ITA,20-40,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
LAO,0-20,2015-2023,-0.640030079,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",54.61421585,60.2122612,-5.598045349,1,100
LIE,20-40,2015-2021,-0.779401145,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",94.45844269,95.34313965,-0.88469696,1,100
MAC,0-20,2015-2023,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
MDG,0-20,2015-2023,-0.584696434,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",31.89204979,37.34305954,-5.45100975,1,100
MEX,20-40,2015-2022,0.004761905,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.28701019,93.27706146,0.00994873,1,100
MLI,0-20,2015-2023,-0.064618644,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",28.76305962,29.37406921,-0.611009598,1,100
MOZ,20-40,2015-2023,0.847577536,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",31.74790192,23.73035049,8.017551422,1,100
MYS,20-40,2015-2023,0.456848031,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",87.54475403,85.02718353,2.517570496,1,100
NER,0-20,2015-2023,-0.091942149,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",14.98805046,15.87551975,-0.887469292,1,100
OMN,20-40,2015-2023,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
PRI,0-20,2015-2023,-1.417601147,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",82.68981934,90.18373108,-7.493911743,1,100
PRY,0-20,2015-2023,-0.371409694,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",72.07498169,75.08164215,-3.006660461,1,100
ROU,0-20,2015-2022,-1.235495974,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",78.77174377,85.92440033,-7.152656555,1,100
RWA,0-20,2015-2023,-0.446093059,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",32.32574081,36.48768997,-4.161949158,1,100
SEN,20-40,2015-2023,-0.047826087,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",39.32659912,39.76626968,-0.439670563,1,100
SLV,0-20,2015-2023,-0.958727803,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",69.0485611,76.84033203,-7.791770935,1,100
SUR,0-20,2015-2021,-0.569823076,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",41.30945969,45.20949936,-3.900039673,1,100
SVK,0-20,2015-2022,-0.619310058,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",81.87278748,85.30774689,-3.434959412,1,100
SVN,20-40,2015-2022,-0.411769212,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",94.39380646,94.98178101,-0.587974548,1,100
TCD,20-40,2015-2021,0.54694674,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",19.17548943,15.2224102,3.953079224,1,100
TUR,0-20,2015-2022,-7.074059357,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",92.38252258,97.29676056,-4.914237976,1,100
TUV,20-40,2015-2023,0.233691658,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",80.18868256,78.46890259,1.719779968,1,100
UKR,0-20,2015-2021,-3.001112832,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",84.84815979,93.7052002,-8.857040405,1,100
VGB,0-20,2015-2021,-4.704544024,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",78.23129272,94.32624054,-16.09494781,1,100
BGD,20-40,2016-2023,0.626673807,2016-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",78.20283508,73.90000916,4.302825928,1,100
BTN,0-20,2016-2022,-3.267221683,2016-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",61.63751984,81.42262268,-19.78510284,1,100
GIN,20-40,2016-2021,0.658723843,2016-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",35.11123276,31.26159286,3.849639893,1,100
HND,0-20,2016-2023,-0.984865274,2016-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",36.51987076,44.43960953,-7.91973877,1,100
LCA,0-20,2016-2023,-1.31634403,2016-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",85.02848053,90.58532715,-5.556846619,1,100
LSO,0-20,2016-2023,-0.532526005,2016-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",41.8945961,46.13204193,-4.237445831,1,100
TZA,20-40,2016-2023,0.624047587,2016-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",35.40339279,30.28937912,5.114013672,1,100
PAN,20-40,2017-2023,-0.146817726,2017-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",76.68131256,77.52903748,-0.847724915,1,100
SLB,0-20,2017-2023,-1.397564777,2017-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",61.43782806,70.34263611,-8.904808044,1,100
AND,40-60,2015-2021,1.064891941,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",90.27094269,86.55660248,3.71434021,1,100
BHR,40-60,2015-2023,-1.418907828,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",95.92622375,96.79524994,-0.869026184,1,100
COL,40-60,2015-2022,0.963578598,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",83.01992798,76.96299744,6.056930542,1,100
DZA,40-60,2015-2023,1.069677164,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",83.95504761,76.33573914,7.619308472,1,100
ERI,40-60,2015-2022,0.429779213,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",49.28409958,45.88829041,3.395809174,1,100
ESP,40-60,2015-2022,0.554024299,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",90.92826843,88.97920227,1.949066162,1,100
FJI,40-60,2015-2023,0.638094488,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.32444,91.51126099,1.813179016,1,100
GRC,40-60,2015-2022,0.264583026,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",95.23387909,94.8970108,0.336868286,1,100
HUN,40-60,2015-2022,1.772779064,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",95.93743896,93.64125824,2.296180725,1,100
LTU,40-60,2015-2021,-3.066269841,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",96.53881073,97.21418762,-0.675376892,1,100
LVA,40-60,2015-2022,-0.229676871,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",95.3423996,95.57563019,-0.233230591,1,100
MAR,40-60,2015-2023,0.661971293,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",74.21057892,68.75450134,5.456077576,1,100
MLT,40-60,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
PAK,40-60,2015-2022,1.034926678,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",47.99855804,39.75494385,8.243614197,1,100
PER,40-60,2015-2023,1.460208275,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.59757996,88.7621994,4.835380554,1,100
SRB,40-60,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
LBR,40-60,2016-2022,0.550152555,2016-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",44.71511841,40.95294952,3.762168884,1,100
ZAF,40-60,2016-2022,1.057328239,2016-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",89.34503174,85.32595062,4.019081116,1,100
SMR,40-60,2018-2023,0.618685289,2018-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.65994263,92.71137238,0.948570251,1,100
CRI,60-80,2015-2022,1.522250274,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",66.80750275,55.30244827,11.50505447,1,100
FIN,60-80,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
FRA,60-80,2015-2021,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
GRD,60-80,2015-2021,2.760476457,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.35873413,85.01036835,8.348365784,1,100
IDN,60-80,2015-2023,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
KGZ,60-80,2015-2023,2.050027833,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",95.08744812,89.78820038,5.299247742,1,100
KHM,60-80,2015-2023,1.331225231,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",61.81179047,50.10628891,11.70550156,1,100
KIR,60-80,2015-2023,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
LKA,60-80,2015-2022,2.598805923,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",96.20930481,92.65862274,3.550682068,1,100
LUX,60-80,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
MKD,60-80,2015-2022,1.713868185,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.03923035,87.43920135,5.600028992,1,100
MNE,60-80,2015-2023,4.422583308,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",97.02175903,91.59529877,5.426460266,1,100
NOR,60-80,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
PSE,60-80,2015-2023,1.914333799,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",90.48209381,79.76921082,10.712883,1,100
QAT,60-80,2015-2022,2.744474065,2015-2022,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",95.00621033,87.96431732,7.041893005,1,100
SLE,60-80,2015-2021,1.396919258,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",54.96551132,45.60214615,9.363365173,1,100
TGO,60-80,2015-2023,2.057672362,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",58.29994965,39.83705139,18.46289825,1,100
THA,60-80,2015-2020,2.028571659,2015-2020,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",89.4076004,82.44119263,6.966407776,1,100
TUN,60-80,2015-2021,1.707492066,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",80.45852661,70.41221619,10.04631042,1,100
UZB,60-80,2015-2023,1.900935206,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",95.57138062,91.7226944,3.848686218,1,100
ZWE,60-80,2015-2021,1.704437651,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",72.32788849,61.52973175,10.79815674,1,100
EGY,60-80,2016-2021,2.271837362,2016-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",86.11057281,76.43836975,9.672203064,1,100
HRV,60-80,2016-2021,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
KWT,60-80,2016-2021,2.202642815,2016-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",90.23512268,83.05947876,7.175643921,1,100
GBR,60-80,2017-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
JOR,60-80,2017-2023,2.860363449,2017-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.37651062,84.61070251,8.765808105,1,100
ARG,80-100,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
CHL,80-100,2015-2020,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
CIV,80-100,2015-2023,5.478312663,2015-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",80.44657898,33.13035965,47.31621933,1,100
